name,district,place_image,address
서대문형무소역사관,서울 서대문구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6f83fb09-79a9-4697-9cf8-b95efa67fcc7,서울특별시 서대문구 통일로 251 
세빛섬,서울 서초구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b61ae558-4375-433f-9a71-b18318a813ef,서울특별시 서초구 올림픽대로 2085-14 
서울숲,서울 성동구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=387d6198-9a68-488b-977e-fe5cc0881c85,서울특별시 성동구 뚝섬로 273 
길상사(서울),서울 성북구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a65ec764-79b3-4203-a98a-7e4dd01e1733,서울특별시 성북구 선잠로5길 68 (성북동)
롯데월드타워&롯데월드몰,서울 송파구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=dab5a55d-d688-4b03-844d-fe2bed14dc89,서울특별시 송파구 올림픽로 300 
키자니아 서울,서울 송파구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=fe27e137-f1be-4e05-9f15-4d46b15d1aec,서울특별시 송파구 올림픽로 240 
진관사(서울),서울 은평구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ee4086fb-0a40-4dfd-9ac8-e7ecdec930c5,서울특별시 은평구 진관길 73 
국립현대미술관 서울,서울 종로구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=fa0d6c4e-7c54-4bef-a261-56fb8afffd7f,서울특별시 종로구 삼청로 30 (소격동)
북악스카이 팔각정,서울 종로구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2ae1f60a-d628-462e-8f42-4ac1eaefa70a,서울특별시 종로구 북악산로 267 (평창동)
서울 명동성당,서울 중구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3b38cfeb-50c1-4b1b-883e-820d3742d8dc,서울특별시 중구 명동길 74 (명동2가)
한강시민공원 망원지구(망원한강공원),서울 마포구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ac2035cf-4ce4-4495-a08f-9ceeb2b0cf91,서울특별시 마포구 마포나루길 467 
롯데월드 아쿠아리움 ,서울 송파구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b9649cf3-e767-4a21-a44a-79de963f1cac,서울특별시 송파구 올림픽로 300 롯데월드 몰 B1 (신천동)
롤파크,서울 종로구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8bd2adda-ff82-4366-bc20-fcd5751cf1b6,서울특별시 종로구 종로 33 그랑서울 타워[1] 3층 롤파크
